id,유저ID,내용
710,라즐리,개인정보는 완벽하게 삭제할거라 믿고있어요 그리고 제발 본인들이 무지한거 티내지 마세요 우기면 다된다는 위치원생 마인드 참아주는것도 한계가 있습니다 본인들이 먼저 선 넘어놓고 누가 누굴탓하는건지 덕분에 어이가 안드로메다로 이사갔네요 아주 이곳저곳에서 다양한 방법으로 민폐짓 하는 법을 몸소 가르쳐주시는군요 당신들 덕분에 앞으로 저혈압걸릴 걱정 없이 살수있겠습니다 부디 다음번엔 공부 더 하시고 안경을 맞추셔서 한복을 한푸라고 주장하는 일이 없길 기원합니다 국내에서 역대 최단기록으로 섭종한 게임이라 이름 남기고 가는거 축하드려요 
711,니키야 잘가,환불 탈퇴 관련 공지랑 해결책 싹 내놓고 가세요 그리고 12월까지 안끌어도 되니까 빨리 문닫으시구요
712,운명을거스르는,빨리 섭종하고 시진핑이 주인님께 가서 주인님 발가락이나 빨아 
713,키라링,결국 가는구나 안녕
714,느그나라로꺼져,우리의 입장은 조국과 일치 이지랄 지랄들을 해라 진짜 만나서 좆같았고 다신 보지 말자 韩服是韩国传统服装
715,룸,야 이ㅅ 야 미쳤니 한국의 전통옷인데 중국꺼 베꼈다고? 역사나 더 알고와 가만히 있는 사람 건드리지 말고 니네가 중국유저 잡겠다는거 딱보이는데 돈이 그렇게 좋았니 인성은 안보는구나 이런 게임인지 알았으면 사전예약도 안했다 
716,데공,환불은 해주고 빤스런해 미친놈들아 垃圾们把钱还回去吧
717,상큼달콤캔디,시발 지랄하고 앉아있네 진짜 하중국 모욕이요 니들이 생각이 있으면 이런말을 할 수 있냐 븅신들아 한복 중국꺼 만드니까 좋냐고 만나서 더러웠고 다신 보지 말자 좆같은 새끼들아
718,발란,크 섭종 진심 감사드리구 축하두려용 한국에선 제발 중국게임 좀 들이밀지 마세요옹 맨날 게임 따라하기 바쁘고 잘 되는 게임 있음 그거 인수해가서 다 망쳐놓고 유저들 접게하다가 수입 없으니까 섭종하는거 중국겜 특 아닌가욤 여러나라에서 욕 종라 처먹고 논란이 되는지도 모르면 대가리가 개빻은거지 아 대가리빻은것도 중국 종특이었지 참 암튼 섭종 정말 감사드리고 한국에선 다신 보지 말자 
719,9.63815E+14,레전드닼 
720,냥코대전쟁,이상한게 한두개가 아닌데
721,단념,야 환불이랑 개인 정보 공지는 없니 역시 그 나라 수준 돈 먹고 튈 생각 하누 어딜 가냐 너거들 안 놔준다 환불 처리 개인 정보 다 해결하고 가라 
722,불매,역사를 잊은 민족에게 미래는 없다
723,SSibal,와 씨발
724,282,你们支持天安门。 我把你们向公安举报了 너네 천안문 지지한거 공안에 신고했어
725,퓨페파피퓨,Hanbok is Korean traditional clothes. ok 미천한 짱깨
726,달맞,중국이 그렇게 소중하면 다른 나라에 게임 출시하지 말던가 한복이 너네꺼면 짜장면도 니네꺼가 되는거냐 논리 개거지같네 진짜 
727,니키야 잘가,일개 직원분들만 불쌍하네 중국몽 하나때문에 몇명이 피해보냐 여윽시 그 민족특 어디 안감
728,하인두,웃기네 
729,한복은 대한민국것,그지같은 새퀴들아 한국이 우습냐 한국인이 우습냐 너네 내가 장담컨데 엄청난 대가든 후회든 하게 될거야 
730,282,我们小区的蟑螂的名字叫毛泽东 우리동네 바퀴벌레 이름 마오쩌둥
731,에리나,누가 머라고해도 대한민국의 한복이란 말이다 짜증나게 12월까지 하지 말고 환불하고 꺼져라 
732,한복은코리아꺼다,아 웃기다
733,아리랑도 한국것,자 여러분 진정하시고 국민청원 진행 중이니 한번 쭉 읽어보신 후 참여부탁드립니다
734,앙넝,이런씨발련들 역시 착짱 죽짱 씹팩트
735,282,타이완 남바완 프리티벳 프리홍콩 해방위구르
736,행복님,모바일게임 표준약관
737,섭종축하행,대국이라기엔 속이 참 좁고 소국이라긴엔 땅덩어리가 넓어 중국이라 하더라
738,빵태12,착짱 뒤짱
739,가희아,더러운 떼놈들 꺼져 근데 우리 개인정보 가지고 튀냐 항상 됫통수치고 사기치고 떼쓰는 더러운 떼놈들 이러니 중국이 전세계에서 가장 미개하고 극혐하는 나라로 1위지
740,상춘곡,마지막까지 뻔뻔하기는
741,개복치,韩服是韩国的民主化运动的象征。 主张韩服是中国的东西意味着作者渴望民主主义。 啊对了。你上次跟我说过希望中国成为民主主义国家吧？ 没错。希望不要忘记天安门精神继续穿上象征民主化运动的韩服。 한복은 한국 민주화 운동의 상징이다. 한복이 중국의 것이라는 주장은 저자가 민주주의를 열망한다는 것을 의미한다. 아 맞다. 너 저번에 나한테 중국이 민주주의 국가가 되길 바란다고 말했지? 맞아요. 천안문 정신을 잊지 말고 민주화 운동을 상징하는 한복을 계속 입었으면 좋겠어요. 
742,냥냉,1년 전 까지만 해도 중국인이 한복입고 SNS에 올리면 애국 안한다고 욕한게 니네 짱깨들이다 미개한것들아.
743,순정만화,나만 저내용 이해안감 한복 우리거라고 니들 나라애들이 한복이 니들거라며 팩트얘기를 안하누 
744,일린,韩服是民主化运动的象征 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다
745,송월,끝까지 중국얘기 개웃기네 한국에 게임 다시는 내지마셈 자기 나라 옷 알리네 웅앵 이카면서 한국을 올리나 한국은 대한민국옷이지 제대로 알아보고 만들던가 개웃기는 놈들이네 섭종 풍악 울려라
746,설은하,귀사의 책임에 의한 선택으로 서비스 종료를 결정하셨으므로 모든 유저들이 결제한 재화에 대한 환불 및 개인정보의 삭제를 완료하시고 서비스 종료하시길 바랍니다.
747,페퍼겜레전드네,아니 근데 한국서버에서 한국인들한테 보여줄 글을 링크를 달거면 한국어로 직역이라도 해오는 게 맞지않냐 링크 눌렀다 이거 시전하고 왔는데
748,puring,보라고 링크걸어놓은건가 이러고 나옴
749,호박pie,갈 때 한국에 있는 중국인들도 데려가 줬으면
750,송월,중국전통매력 한복이 중국전통이냐 빡대갈들아
751,왓족,지랄하네 끝까지 사과는 좆닳아도 안하고 내빼겠다 이거냐시발 이따위 공지같지도 않은 글 쓸거면 유저들 환불이랑 탈퇴절차 좀 친절하게 알려줘 시발럼들아 똥꼬에서 오줌나오는 소리하고있네
752,니키는민주주의,사흘 동안 60만 명 넘는 사람이 서명에 참여했습니다 지금 주요국 외무장관들이 제네바에서 회담 중입니다. 위구르인의 자유를 요구하는 백만 명의 목소리를 그들에게 전합시다. 서명하고 이 얘기를 널리 퍼뜨려 주세요. 서명하기 끔찍한 일입니다. 중국에서 백만 명이 넘는 위구르인이 갇혀서 세뇌 당하고 있습니다 여성들은 성폭행과 고문을 당하고 아이들은 부모와 생이별했습니다. 각국 정부는 이를 보고도 모른 체하고 있죠. 하지만 우리는 그럴 수 없습니다 며칠 뒤 유엔에서 이 문제가 논의될 예정입니다. 우리가 모두 서명에 참여한다면 백만 명의 이름이 담긴 명단을 회의장에 전달할 수 있을 겁니다. 갇혀 있는 위구르인의 숫자만큼 서명에 참여합시다 아바즈는 또한 생존자들의 목소리를 각국 정부에 전하고 중국에 투자한 기업들에 철수할 것을 요구하겠습니다. 억류된 위구르인을 풀어주지 않는 한 중국 정부는 계속된 압박에 직면하게 될 겁니다. 서명해 주세요 서명하기 여러분 코로나19 바이러스 때문에 세계의 시선이 중국에 쏠려 있습니다. 하지만 중국에선 또 다른 비상사태가 진행 중입니다. 코로나19와는 달리 중국은 이 사태를 숨기고 있죠. 백만 명 넘는 위구르인이 강제로 억류돼 세뇌 당하고 있는 현실이 그것입니다 여성들은 성폭행과 고문을 당하고 있습니다. 아이들은 부모와 생이별했죠. 2020년에 이러한 일이 벌어지고 대부분 국가가 이를 모른 체하고 있다는 사실이 믿기지 않습니다. 우리가 나서서 외쳐야 합니다 며칠 뒤 유엔에서 이 문제를 다룰 것으로 보입니다. 내부자의 전망에 따르면 적극적 대응을 요구하는 국제 사회의 목소리가 있다면 주요국들이 중국에 문제를 제기할 수 있을 겁니다. 모두 서명에 참여한다면 백만 명의 이름이 담긴 명단을 회의장에 전달할 수 있습니다. 갇혀 있는 위구르인의 숫자만큼 서명에 참여합시다 아바즈는 생존자들의 목소리를 각국 정부에 전하겠습니다. 그리고 중국에 투자한 기업들에 철수할 것을 요구하겠습니다. 그것이 해당 기업들이 이 문화적 대학살의 책임으로부터 자유로울 수 있는 길입니다. 억류된 위구르인을 풀어주지 않는 한 중국 정부는 계속된 압박에 직면하게 될 것이라는 사실을 똑똑히 보여줍시다. 위구르인 석방을 위한 긴급 청원에 서명해 주세요 중국 정부는 지난 수십 년간 위구르 공동체를 위협적 존재로 인식해 왔습니다. 위구르인에 대한 탄압은 주의에서 통제로 억압으로 나아가 이제는 대량 감금과 세뇌로 강화됐습니다. 그 규모가 너무 커서 안면 인식 가정과 공공 장소에서의 감시 시스템 그리고 막대한 양의 DNA 정보 수집 같은 첨단 기술이 동원되고 있죠. 세계 유수의 기업들이 이러한 사태의 책임으로부터 자유롭지 못합니다. 중국의 감시 시스템에 자본과 기술을 제공한 대가로 그들은 값싼 노동력과 막대한 이윤을 얻어 갔습니다. 지독히 끔찍한 동맹 관계죠 유엔과 각국 정부 산업계 투자자들의 문제 제기가 필요합니다. 그래야 책임자를 대상으로 제재를 가하고 자본이 중국으로 흘러드는 것을 막아 중국 정부의 변화를 이끌어 낼 수 있습니다. 우리가 나서야 합니다 “무관심해서는 안 된다.” 아우슈비츠에서 살아남은 마리안 투르스키가 인류가 지켜야 할 11번째 계명으로 제시한 말입니다. 이것은 우리 모두의 양심에 관한 얘기입니다. 먼저 여러분 각자의 정부에 요구합시다. 중국 정부가 위구르 주민의 인권을 존중하도록 쓸 수 있는 모든 수단을 동원하라고요. 그런 다음 다국적 투자자와 글로벌 기업 CEO들에게 요구합시다. 더 이상 침묵하지 말고 중국과의 관계를 끊으라고요 서명하고 친구들에게 이 얘기를 전해 주세요. 위구르인 석방을 위한 긴급 청원에 서명해 주세요 오랫동안 우리는 주체성을 지키기 위해 싸우는 소수자의 편에 서 왔습니다. 아마존의 토착 부족에서부터 케냐의 마사이 부족까지 우리는 그들의 목소리를 전 세계에 전하기 위해 노력했죠. 대규모 세뇌공작을 받고 있는 위구르인을 위해 다시 한 번 뭉쳐서 외칩시다. 그들이 자유를 찾을 수 있도록 도웁시다. 함께해 주세요 희망과 결의를 담아 미탈리 디에고 루이스 후이팅 나탈리야 윌 위쌈 그리고 아바즈팀 전체 관련기사 중국 위구르 탄압 문건 또 공개… 수용자 가족까지 철저 감시 (연합뉴스) 중국 위구르족 수용소 지침보니…숨 막히는 규율·세뇌(한겨레) 중국의 가혹한 신장 위구르족 탄압… 漢族도 못견디고 엑소더스(조선일보) 감시 당하고 억류되다 (CNN 영문) 어린이도 예외 없는 중국의 무슬림 탄압 (뉴욕타임스 영문) 미국 대학 및 연기금 중국 감시 시스템에 쓰이는 기술에 투자 (버즈피드뉴스 영문)
753,조이야,존엄성 환불이나 해주고 가
754,야나글이안써져,이런 미친새끼들이 돌았나 진짜 야 시발 꺼져 제발 이 미친새끼들이 한복이 한푸라고 야 니들 중국게임 니들이나 해라 이 도둑놈들아 꺼져 
755,puring,애초에 지들이 잘못해놓고 유저탓시전 니들이 한복이라고 내놔놓고 눈치보느라 서버닫고 삭제공지 띄우고 왜 한국유저탓함? 공지레전드다 이런 공지 본적이 없어
756,NTL,대만독립만세
757,임슬이,진심 환불은 해줘라
758,김배추,잠깐 자고 일어낫는데 게임이 터져잇네 시발 족같았고 민주주의 국가에서 다신 장사하지 마시길 
759,좋아요한글에탈퇴방법,환불 안되는 분들 많던데 다 환불하고 꺼져라
760,선레빗,유감스럽고 분노스러운것은 짱깨새끼들 돌았노 니들이 화낼게 뭐가있냐 대체
761,일짱,마지막 한계 어 중국기업이라 확인시켜줘서 고맙고 한국인들은 중국산 소비안한다 
762,제비,짱깨들아 욕먹고 유병해라 장수는 하지말고. 타이완 넘버원 프리 홍콩 
763,임슬이,먹튀 뒤져라
764,샤인빈,이제 다신 보지말자 아 환불은 해주고가
765,랑쉐,끝까지 국가의 존엄성 운운하시네 죄송한데 시작은 저희가 아니라 그쪽이 먼저 했어요 피해자 코스프레 하지 말아주세요 어이없네 중국전통문화를 알리고 싶다고요 당신들 손으로 다 없애놓고 뭘 알려 알리긴 있어야 알리지 알리고 싶다면 없앤 문화 살려서 알리세요 남의 나라꺼 예뻐보이고 좋아보이고 전통성 있어보이는 것들 쏙쏙 골라서 자기네것인거 마냥 굴지 마시고요 초등학생도 안할 유치한 짓을 하냐
766,일짱,좆같기는 우리가 더 개좆같지 한복에 관심도 없던 것들이 갑자기 한복이 우리꺼 이지랄 도랐노 응 느그 시진핑 개좆좆같은 새끼 시발럼아 언젠가 시진핑은 민주주의 칼날에 배때기에 죽창 쑤셔박힘
